Gaps of 0s and 1s (Length, Start Position, Gap Type):
Gap Type: 0, Length: 1, Start Position: X389
Gap Type: 0, Length: 3, Start Position: X391
Gap Type: 0, Length: 1, Start Position: X395
Gap Type: 0, Length: 2, Start Position: X402
Gap Type: 0, Length: 1, Start Position: X406
Gap Type: 0, Length: 2, Start Position: X409
Gap Type: 0, Length: 2, Start Position: X413
Gap Type: 0, Length: 2, Start Position: X416
Gap Type: 0, Length: 2, Start Position: X424
Gap Type: 0, Length: 1, Start Position: X427
Gap Type: 0, Length: 2, Start Position: X429
Gap Type: 0, Length: 3, Start Position: X436
Gap Type: 0, Length: 2, Start Position: X441
Gap Type: 0, Length: 2, Start Position: X444
Gap Type: 0, Length: 1, Start Position: X450
Gap Type: 0, Length: 3, Start Position: X452
Gap Type: 0, Length: 1, Start Position: X456
Gap Type: 0, Length: 3, Start Position: X458
Gap Type: 0, Length: 1, Start Position: X462
Gap Type: 0, Length: 3, Start Position: X465
Gap Type: 0, Length: 2, Start Position: X471
Gap Type: 0, Length: 2, Start Position: X475
Gap Type: 0, Length: 4, Start Position: X478
Gap Type: 0, Length: 2, Start Position: X484
Gap Type: 0, Length: 1, Start Position: X487
Gap Type: 0, Length: 1, Start Position: X490
Gap Type: 0, Length: 1, Start Position: X494
Gap Type: 0, Length: 3, Start Position: X498
Gap Type: 0, Length: 3, Start Position: X502
Gap Type: 0, Length: 3, Start Position: X507
Gap Type: 0, Length: 1, Start Position: X514
Gap Type: 0, Length: 1, Start Position: X516
Gap Type: 0, Length: 2, Start Position: X518
Gap Type: 0, Length: 2, Start Position: X521
Gap Type: 0, Length: 1, Start Position: X527
Gap Type: 0, Length: 1, Start Position: X533
Gap Type: 0, Length: 1, Start Position: X535
Gap Type: 0, Length: 3, Start Position: X540
Gap Type: 0, Length: 3, Start Position: X545
Gap Type: 0, Length: 3, Start Position: X550
Gap Type: 0, Length: 1, Start Position: X555
Gap Type: 0, Length: 2, Start Position: X557
Gap Type: 0, Length: 3, Start Position: X561
Gap Type: 0, Length: 1, Start Position: X568
Gap Type: 0, Length: 2, Start Position: X571
Gap Type: 0, Length: 1, Start Position: X575
Gap Type: 0, Length: 1, Start Position: X577
Gap Type: 0, Length: 2, Start Position: X582
Gap Type: 0, Length: 1, Start Position: X586
Gap Type: 0, Length: 4, Start Position: X591
Gap Type: 0, Length: 1, Start Position: X598
Gap Type: 0, Length: 1, Start Position: X600
Gap Type: 0, Length: 4, Start Position: X602
Gap Type: 0, Length: 1, Start Position: X608
Gap Type: 0, Length: 2, Start Position: X610
Gap Type: 0, Length: 3, Start Position: X613
Gap Type: 0, Length: 2, Start Position: X618
Gap Type: 0, Length: 2, Start Position: X626
Gap Type: 0, Length: 1, Start Position: X630
Gap Type: 0, Length: 2, Start Position: X632
Gap Type: 0, Length: 1, Start Position: X636
Gap Type: 0, Length: 2, Start Position: X640
Gap Type: 0, Length: 1, Start Position: X643
Gap Type: 0, Length: 2, Start Position: X646
Gap Type: 0, Length: 2, Start Position: X650
Gap Type: 0, Length: 1, Start Position: X653
Gap Type: 0, Length: 1, Start Position: X658
Gap Type: 0, Length: 1, Start Position: X660
Gap Type: 0, Length: 1, Start Position: X662
Gap Type: 0, Length: 1, Start Position: X668
Gap Type: 0, Length: 2, Start Position: X670
Gap Type: 0, Length: 1, Start Position: X674
Gap Type: 0, Length: 1, Start Position: X678
Gap Type: 0, Length: 9, Start Position: X682
Gap Type: 0, Length: 1, Start Position: X692
Gap Type: 0, Length: 1, Start Position: X694
Gap Type: 0, Length: 1, Start Position: X705
Gap Type: 0, Length: 2, Start Position: X707
Gap Type: 0, Length: 2, Start Position: X713
Gap Type: 0, Length: 2, Start Position: X716
Gap Type: 0, Length: 4, Start Position: X719
Gap Type: 0, Length: 1, Start Position: X724
Gap Type: 0, Length: 2, Start Position: X730
Gap Type: 0, Length: 3, Start Position: X733
Gap Type: 0, Length: 1, Start Position: X737
Gap Type: 0, Length: 1, Start Position: X740
Gap Type: 0, Length: 1, Start Position: X746
Gap Type: 0, Length: 3, Start Position: X748
Gap Type: 0, Length: 3, Start Position: X753
Gap Type: 0, Length: 1, Start Position: X757
Gap Type: 0, Length: 1, Start Position: X761
Gap Type: 0, Length: 2, Start Position: X765
Gap Type: 0, Length: 2, Start Position: X768
Gap Type: 0, Length: 2, Start Position: X771
Gap Type: 0, Length: 1, Start Position: X776
Gap Type: 0, Length: 1, Start Position: X779
Gap Type: 0, Length: 2, Start Position: X785
Gap Type: 0, Length: 2, Start Position: X790
Gap Type: 0, Length: 2, Start Position: X793
Gap Type: 0, Length: 1, Start Position: X797
Gap Type: 0, Length: 1, Start Position: X799
Gap Type: 0, Length: 1, Start Position: X801
Gap Type: 0, Length: 1, Start Position: X803
Gap Type: 0, Length: 1, Start Position: X806
Gap Type: 0, Length: 2, Start Position: X809
Gap Type: 0, Length: 3, Start Position: X813
Gap Type: 0, Length: 2, Start Position: X817
Gap Type: 0, Length: 1, Start Position: X821
Gap Type: 0, Length: 4, Start Position: X824
Gap Type: 0, Length: 3, Start Position: X829
Gap Type: 0, Length: 1, Start Position: X833
Gap Type: 0, Length: 1, Start Position: X835
Gap Type: 0, Length: 1, Start Position: X837
Gap Type: 0, Length: 1, Start Position: X839
Gap Type: 0, Length: 2, Start Position: X842
Gap Type: 0, Length: 4, Start Position: X845
Gap Type: 0, Length: 3, Start Position: X850
Gap Type: 0, Length: 7, Start Position: X855
Gap Type: 0, Length: 1, Start Position: X864
Gap Type: 0, Length: 2, Start Position: X866
Gap Type: 0, Length: 3, Start Position: X870
Gap Type: 0, Length: 4, Start Position: X874
Gap Type: 0, Length: 1, Start Position: X880
Gap Type: 0, Length: 3, Start Position: X882
Gap Type: 0, Length: 1, Start Position: X888
Gap Type: 0, Length: 2, Start Position: X890
Gap Type: 0, Length: 1, Start Position: X894
Gap Type: 0, Length: 2, Start Position: X896
Gap Type: 0, Length: 2, Start Position: X902
Gap Type: 0, Length: 3, Start Position: X906
Gap Type: 0, Length: 2, Start Position: X910
Gap Type: 0, Length: 4, Start Position: X913
Gap Type: 0, Length: 1, Start Position: X920
Gap Type: 0, Length: 1, Start Position: X923
Gap Type: 0, Length: 1, Start Position: X925
Gap Type: 0, Length: 2, Start Position: X931
Gap Type: 0, Length: 1, Start Position: X935
Gap Type: 0, Length: 2, Start Position: X937
Gap Type: 0, Length: 1, Start Position: X940
Gap Type: 0, Length: 5, Start Position: X942
Gap Type: 0, Length: 1, Start Position: X948
Gap Type: 0, Length: 1, Start Position: X950
Gap Type: 0, Length: 3, Start Position: X953
Gap Type: 0, Length: 3, Start Position: X957
Gap Type: 0, Length: 3, Start Position: X961
Gap Type: 0, Length: 2, Start Position: X966
Gap Type: 0, Length: 2, Start Position: X969
Gap Type: 0, Length: 2, Start Position: X976
Gap Type: 0, Length: 2, Start Position: X982
Gap Type: 0, Length: 1, Start Position: X988
Gap Type: 0, Length: 1, Start Position: X990
Gap Type: 0, Length: 3, Start Position: X993
Gap Type: 0, Length: 3, Start Position: X997
Gap Type: 0, Length: 3, Start Position: X1003
Gap Type: 0, Length: 1, Start Position: X1008
Gap Type: 0, Length: 1, Start Position: X1010
Gap Type: 0, Length: 1, Start Position: X1013
Gap Type: 0, Length: 3, Start Position: X1017
Gap Type: 0, Length: 1, Start Position: X1022
Gap Type: 0, Length: 1, Start Position: X1025
Gap Type: 0, Length: 1, Start Position: X1030
Gap Type: 0, Length: 3, Start Position: X1032
Gap Type: 0, Length: 1, Start Position: X1037
Gap Type: 0, Length: 2, Start Position: X1039
Gap Type: 0, Length: 1, Start Position: X1042
Gap Type: 0, Length: 1, Start Position: X1044
Gap Type: 0, Length: 2, Start Position: X1047
Gap Type: 0, Length: 2, Start Position: X1056
Gap Type: 0, Length: 1, Start Position: X1059
Gap Type: 0, Length: 1, Start Position: X1061
Gap Type: 0, Length: 2, Start Position: X1063
Gap Type: 0, Length: 4, Start Position: X1067
Gap Type: 0, Length: 3, Start Position: X1072
Gap Type: 0, Length: 6, Start Position: X1078
Gap Type: 0, Length: 1, Start Position: X1085
Gap Type: 0, Length: 1, Start Position: X1087
Gap Type: 0, Length: 1, Start Position: X1089
Gap Type: 0, Length: 2, Start Position: X1091
Gap Type: 0, Length: 1, Start Position: X1095
Gap Type: 0, Length: 1, Start Position: X1099
Gap Type: 0, Length: 1, Start Position: X1101
Gap Type: 0, Length: 10, Start Position: X1103
Gap Type: 0, Length: 3, Start Position: X1114
Gap Type: 0, Length: 1, Start Position: X1118
Gap Type: 0, Length: 2, Start Position: X1120
Gap Type: 0, Length: 2, Start Position: X1125
Gap Type: 0, Length: 1, Start Position: X1132
Gap Type: 0, Length: 3, Start Position: X1134
Gap Type: 0, Length: 1, Start Position: X1140
Gap Type: 0, Length: 2, Start Position: X1142
Gap Type: 0, Length: 3, Start Position: X1147
Gap Type: 0, Length: 4, Start Position: X1153
Gap Type: 0, Length: 8, Start Position: X1158
Gap Type: 0, Length: 2, Start Position: X1167
Gap Type: 0, Length: 1, Start Position: X1170
Gap Type: 0, Length: 1, Start Position: X1172
Gap Type: 0, Length: 1, Start Position: X1174
Gap Type: 0, Length: 2, Start Position: X1179
Gap Type: 0, Length: 1, Start Position: X1188
Gap Type: 0, Length: 1, Start Position: X1191
Gap Type: 0, Length: 1, Start Position: X1193
Gap Type: 0, Length: 1, Start Position: X1197
Gap Type: 0, Length: 4, Start Position: X1202
Gap Type: 0, Length: 1, Start Position: X1207
Gap Type: 0, Length: 1, Start Position: X1210
Gap Type: 0, Length: 1, Start Position: X1218
Gap Type: 0, Length: 1, Start Position: X1221
Gap Type: 0, Length: 1, Start Position: X1223
Gap Type: 0, Length: 1, Start Position: X1226
Gap Type: 0, Length: 1, Start Position: X1229
Gap Type: 0, Length: 3, Start Position: X1232
Gap Type: 0, Length: 1, Start Position: X1236
Gap Type: 0, Length: 1, Start Position: X1242
Gap Type: 0, Length: 2, Start Position: X1244
Gap Type: 0, Length: 4, Start Position: X1247
Gap Type: 0, Length: 4, Start Position: X1252
Gap Type: 0, Length: 3, Start Position: X1258
Gap Type: 0, Length: 1, Start Position: X1264
Gap Type: 0, Length: 1, Start Position: X1274
Gap Type: 0, Length: 2, Start Position: X1280
Gap Type: 0, Length: 1, Start Position: X1283
Gap Type: 0, Length: 1, Start Position: X1286
Gap Type: 0, Length: 2, Start Position: X1291
Gap Type: 0, Length: 2, Start Position: X1294
Gap Type: 0, Length: 5, Start Position: X1298
Gap Type: 0, Length: 2, Start Position: X1304
Gap Type: 0, Length: 2, Start Position: X1307
Gap Type: 0, Length: 1, Start Position: X1310
Gap Type: 0, Length: 1, Start Position: X1312
Gap Type: 0, Length: 1, Start Position: X1315
Gap Type: 0, Length: 1, Start Position: X1320
Gap Type: 0, Length: 1, Start Position: X1327
Gap Type: 0, Length: 1, Start Position: X1330
Gap Type: 0, Length: 3, Start Position: X1333
Gap Type: 0, Length: 4, Start Position: X1339
Gap Type: 0, Length: 10, Start Position: X1347
Gap Type: 0, Length: 1, Start Position: X1358
Gap Type: 0, Length: 4, Start Position: X1360
Gap Type: 0, Length: 1, Start Position: X1366
Gap Type: 0, Length: 1, Start Position: X1369
Gap Type: 0, Length: 2, Start Position: X1371
Gap Type: 0, Length: 1, Start Position: X1376
Gap Type: 0, Length: 2, Start Position: X1379
Gap Type: 0, Length: 2, Start Position: X1382
Gap Type: 0, Length: 4, Start Position: X1385
Gap Type: 0, Length: 1, Start Position: X1393
Gap Type: 0, Length: 4, Start Position: X1395
Gap Type: 0, Length: 1, Start Position: X1400
Gap Type: 0, Length: 5, Start Position: X1403
Gap Type: 0, Length: 1, Start Position: X1409
Gap Type: 0, Length: 2, Start Position: X1411
Gap Type: 0, Length: 2, Start Position: X1414
Gap Type: 0, Length: 1, Start Position: X1417
Gap Type: 0, Length: 1, Start Position: X1419
Gap Type: 0, Length: 1, Start Position: X1423
Gap Type: 0, Length: 1, Start Position: X1425
Gap Type: 0, Length: 2, Start Position: X1428
Gap Type: 0, Length: 1, Start Position: X1438
Gap Type: 0, Length: 2, Start Position: X1440
Gap Type: 0, Length: 1, Start Position: X1443
Gap Type: 0, Length: 1, Start Position: X1445
Gap Type: 0, Length: 2, Start Position: X1448
Gap Type: 0, Length: 1, Start Position: X1456
Gap Type: 0, Length: 2, Start Position: X1460
Gap Type: 0, Length: 2, Start Position: X1463
Gap Type: 0, Length: 3, Start Position: X1466
Gap Type: 0, Length: 3, Start Position: X1470
Gap Type: 0, Length: 2, Start Position: X1475
Gap Type: 0, Length: 3, Start Position: X1478
Gap Type: 0, Length: 1, Start Position: X1482
Gap Type: 0, Length: 1, Start Position: X1486
Gap Type: 0, Length: 1, Start Position: X1488
Gap Type: 0, Length: 1, Start Position: X1491
Gap Type: 0, Length: 2, Start Position: X1493
Gap Type: 0, Length: 2, Start Position: X1496
Gap Type: 0, Length: 3, Start Position: X1501
Gap Type: 0, Length: 2, Start Position: X1509
Gap Type: 0, Length: 1, Start Position: X1513
Gap Type: 0, Length: 6, Start Position: X1515
Gap Type: 0, Length: 2, Start Position: X1523
Gap Type: 0, Length: 3, Start Position: X1526
Gap Type: 0, Length: 7, Start Position: X1536
Gap Type: 0, Length: 1, Start Position: X1544
Gap Type: 0, Length: 2, Start Position: X1546
Gap Type: 0, Length: 2, Start Position: X1550
Gap Type: 0, Length: 1, Start Position: X1553
Gap Type: 0, Length: 1, Start Position: X1556
Gap Type: 0, Length: 3, Start Position: X1559
Gap Type: 0, Length: 3, Start Position: X1565
Gap Type: 0, Length: 1, Start Position: X1571
Gap Type: 0, Length: 2, Start Position: X1573
Gap Type: 0, Length: 2, Start Position: X1577
Gap Type: 0, Length: 10, Start Position: X1580
Gap Type: 0, Length: 1, Start Position: X1592
Gap Type: 0, Length: 1, Start Position: X1599
Gap Type: 0, Length: 1, Start Position: X1604
Gap Type: 0, Length: 1, Start Position: X1607
Gap Type: 0, Length: 2, Start Position: X1609
Gap Type: 0, Length: 2, Start Position: X1613
Gap Type: 0, Length: 1, Start Position: X1617
Gap Type: 0, Length: 4, Start Position: X1620
Gap Type: 0, Length: 1, Start Position: X1626
Gap Type: 0, Length: 5, Start Position: X1628
Gap Type: 0, Length: 1, Start Position: X1635
Gap Type: 0, Length: 1, Start Position: X1638
Gap Type: 0, Length: 1, Start Position: X1641
Gap Type: 0, Length: 2, Start Position: X1647
Gap Type: 0, Length: 4, Start Position: X1651
Gap Type: 0, Length: 1, Start Position: X1656
Gap Type: 0, Length: 3, Start Position: X1658
Gap Type: 0, Length: 1, Start Position: X1662
Gap Type: 0, Length: 2, Start Position: X1664
Gap Type: 0, Length: 4, Start Position: X1667
Gap Type: 0, Length: 1, Start Position: X1672
Gap Type: 0, Length: 1, Start Position: X1675
Gap Type: 0, Length: 1, Start Position: X1680
Gap Type: 0, Length: 2, Start Position: X1682
Gap Type: 0, Length: 3, Start Position: X1687
Gap Type: 0, Length: 1, Start Position: X1694
Gap Type: 0, Length: 6, Start Position: X1696
Gap Type: 0, Length: 3, Start Position: X1703
Gap Type: 0, Length: 1, Start Position: X1707
Gap Type: 0, Length: 4, Start Position: X1709
Gap Type: 0, Length: 2, Start Position: X1715
Gap Type: 0, Length: 2, Start Position: X1720
Gap Type: 0, Length: 2, Start Position: X1723
Gap Type: 0, Length: 1, Start Position: X1726
Gap Type: 0, Length: 1, Start Position: X1728
Gap Type: 0, Length: 3, Start Position: X1731
Gap Type: 0, Length: 1, Start Position: X1735
Gap Type: 0, Length: 2, Start Position: X1737
Gap Type: 0, Length: 1, Start Position: X1740
Gap Type: 0, Length: 1, Start Position: X1743
Gap Type: 0, Length: 2, Start Position: X1747
Gap Type: 0, Length: 1, Start Position: X1750
Gap Type: 0, Length: 2, Start Position: X1756
Gap Type: 0, Length: 1, Start Position: X1759
Gap Type: 0, Length: 2, Start Position: X1761
Gap Type: 0, Length: 1, Start Position: X1764
Gap Type: 0, Length: 3, Start Position: X1766
Gap Type: 0, Length: 2, Start Position: X1770
Gap Type: 0, Length: 1, Start Position: X1773
Gap Type: 0, Length: 5, Start Position: X1775
Gap Type: 0, Length: 7, Start Position: X1783
Gap Type: 0, Length: 1, Start Position: X1791
Gap Type: 0, Length: 1, Start Position: X1794
Gap Type: 0, Length: 1, Start Position: X1796
Gap Type: 0, Length: 4, Start Position: X1798
Gap Type: 0, Length: 1, Start Position: X1803
Gap Type: 0, Length: 1, Start Position: X1806
Gap Type: 0, Length: 1, Start Position: X1812
Gap Type: 0, Length: 1, Start Position: X1815
Gap Type: 0, Length: 4, Start Position: X1818
Gap Type: 0, Length: 1, Start Position: X1823
Gap Type: 0, Length: 3, Start Position: X1826
Gap Type: 0, Length: 1, Start Position: X1830
Gap Type: 0, Length: 2, Start Position: X1833
Gap Type: 0, Length: 6, Start Position: X1836
Gap Type: 0, Length: 4, Start Position: X1843
Gap Type: 0, Length: 2, Start Position: X1850
Gap Type: 0, Length: 1, Start Position: X1853
Gap Type: 0, Length: 1, Start Position: X1857
Gap Type: 0, Length: 3, Start Position: X1859
Gap Type: 0, Length: 2, Start Position: X1865
Gap Type: 0, Length: 2, Start Position: X1868
Gap Type: 0, Length: 2, Start Position: X1874
Gap Type: 0, Length: 3, Start Position: X1877
Gap Type: 0, Length: 3, Start Position: X1883
Gap Type: 0, Length: 4, Start Position: X1891
Gap Type: 0, Length: 1, Start Position: X1897
Gap Type: 0, Length: 1, Start Position: X1902
Gap Type: 0, Length: 3, Start Position: X1904
Gap Type: 0, Length: 1, Start Position: X1908
Gap Type: 0, Length: 1, Start Position: X1911
Gap Type: 0, Length: 2, Start Position: X1913
Gap Type: 0, Length: 2, Start Position: X1916
Gap Type: 0, Length: 2, Start Position: X1920
Gap Type: 0, Length: 2, Start Position: X1923
Gap Type: 0, Length: 1, Start Position: X1927
Gap Type: 0, Length: 1, Start Position: X1930
Gap Type: 0, Length: 2, Start Position: X1934
Gap Type: 0, Length: 1, Start Position: X1937
Gap Type: 0, Length: 6, Start Position: X1939
Gap Type: 0, Length: 2, Start Position: X1948
Gap Type: 0, Length: 3, Start Position: X1951
Gap Type: 0, Length: 4, Start Position: X1955
Gap Type: 0, Length: 1, Start Position: X1962
Gap Type: 0, Length: 3, Start Position: X1966
Gap Type: 0, Length: 2, Start Position: X1971
Gap Type: 0, Length: 1, Start Position: X1974
Gap Type: 0, Length: 2, Start Position: X1976
Gap Type: 0, Length: 1, Start Position: X1979
Gap Type: 0, Length: 2, Start Position: X1981
Gap Type: 0, Length: 1, Start Position: X1986
Gap Type: 0, Length: 1, Start Position: X1992
Gap Type: 0, Length: 1, Start Position: X1997
Gap Type: 0, Length: 2, Start Position: X1999
Gap Type: 0, Length: 3, Start Position: X2005
Gap Type: 0, Length: 2, Start Position: X2011
Gap Type: 0, Length: 1, Start Position: X2016
Gap Type: 0, Length: 1, Start Position: X2021
Gap Type: 0, Length: 4, Start Position: X2023
Gap Type: 0, Length: 1, Start Position: X2029
Gap Type: 0, Length: 1, Start Position: X2031
Gap Type: 0, Length: 1, Start Position: X2035
Gap Type: 0, Length: 3, Start Position: X2037
Gap Type: 0, Length: 1, Start Position: X2042
Gap Type: 0, Length: 1, Start Position: X2046
Gap Type: 0, Length: 2, Start Position: X2052
Gap Type: 0, Length: 1, Start Position: X2055
Gap Type: 0, Length: 3, Start Position: X2058
Gap Type: 0, Length: 7, Start Position: X2063
Gap Type: 0, Length: 1, Start Position: X2071
Gap Type: 0, Length: 2, Start Position: X2073
Gap Type: 0, Length: 2, Start Position: X2078
Gap Type: 0, Length: 1, Start Position: X2082
Gap Type: 0, Length: 2, Start Position: X2088
Gap Type: 0, Length: 1, Start Position: X2092
Gap Type: 0, Length: 1, Start Position: X2095
Gap Type: 0, Length: 3, Start Position: X2098
Gap Type: 0, Length: 1, Start Position: X2102
Gap Type: 0, Length: 1, Start Position: X2105
Gap Type: 0, Length: 1, Start Position: X2107
Gap Type: 0, Length: 6, Start Position: X2109
Gap Type: 0, Length: 1, Start Position: X2116
Gap Type: 0, Length: 1, Start Position: X2118
Gap Type: 0, Length: 1, Start Position: X2122
Gap Type: 0, Length: 4, Start Position: X2125
Gap Type: 0, Length: 2, Start Position: X2132
Gap Type: 0, Length: 1, Start Position: X2138
Gap Type: 0, Length: 1, Start Position: X2144
Gap Type: 0, Length: 2, Start Position: X2146
Gap Type: 0, Length: 4, Start Position: X2149
Gap Type: 0, Length: 3, Start Position: X2154
Gap Type: 0, Length: 1, Start Position: X2158
Gap Type: 0, Length: 1, Start Position: X2161
Gap Type: 0, Length: 3, Start Position: X2163
Gap Type: 0, Length: 3, Start Position: X2167
Gap Type: 0, Length: 1, Start Position: X2171
Gap Type: 0, Length: 3, Start Position: X2173
Gap Type: 0, Length: 3, Start Position: X2179
Gap Type: 0, Length: 3, Start Position: X2183
Gap Type: 0, Length: 2, Start Position: X2188
Gap Type: 0, Length: 1, Start Position: X2191
Gap Type: 0, Length: 1, Start Position: X2193
Gap Type: 0, Length: 2, Start Position: X2195
Gap Type: 0, Length: 2, Start Position: X2198
Gap Type: 0, Length: 2, Start Position: X2201
Gap Type: 0, Length: 1, Start Position: X2204
Gap Type: 0, Length: 1, Start Position: X2206
Gap Type: 0, Length: 2, Start Position: X2208
Gap Type: 0, Length: 2, Start Position: X2212
Gap Type: 0, Length: 1, Start Position: X2216
Gap Type: 0, Length: 1, Start Position: X2218
Gap Type: 0, Length: 1, Start Position: X2221
Gap Type: 0, Length: 2, Start Position: X2223
Gap Type: 0, Length: 2, Start Position: X2226
Gap Type: 0, Length: 1, Start Position: X2230
Gap Type: 0, Length: 1, Start Position: X2233
Gap Type: 0, Length: 2, Start Position: X2236
Gap Type: 0, Length: 7, Start Position: X2240
Gap Type: 0, Length: 1, Start Position: X2248
Gap Type: 0, Length: 2, Start Position: X2251
Gap Type: 0, Length: 1, Start Position: X2255
Gap Type: 0, Length: 5, Start Position: X2258
Gap Type: 0, Length: 1, Start Position: X2264
Gap Type: 0, Length: 1, Start Position: X2266
Gap Type: 0, Length: 1, Start Position: X2274
Gap Type: 0, Length: 1, Start Position: X2277
Gap Type: 0, Length: 2, Start Position: X2280
Gap Type: 0, Length: 2, Start Position: X2283
Gap Type: 0, Length: 2, Start Position: X2286
Gap Type: 0, Length: 2, Start Position: X2289
Gap Type: 0, Length: 1, Start Position: X2295
Gap Type: 0, Length: 1, Start Position: X2297
Gap Type: 0, Length: 1, Start Position: X2299
Gap Type: 0, Length: 5, Start Position: X2301
Gap Type: 0, Length: 1, Start Position: X2307
Gap Type: 0, Length: 1, Start Position: X2309
Gap Type: 0, Length: 3, Start Position: X2311
Gap Type: 0, Length: 1, Start Position: X2321
Gap Type: 0, Length: 1, Start Position: X2323
Gap Type: 0, Length: 2, Start Position: X2325
Gap Type: 0, Length: 1, Start Position: X2330
Gap Type: 0, Length: 1, Start Position: X2332
Gap Type: 0, Length: 1, Start Position: X2334
Gap Type: 0, Length: 1, Start Position: X2336
Gap Type: 0, Length: 7, Start Position: X2338
Gap Type: 0, Length: 1, Start Position: X2348
Gap Type: 0, Length: 3, Start Position: X2351
Gap Type: 0, Length: 2, Start Position: X2355
Gap Type: 0, Length: 1, Start Position: X2361
Gap Type: 0, Length: 1, Start Position: X2363
Gap Type: 0, Length: 1, Start Position: X2366
Gap Type: 0, Length: 1, Start Position: X2368
Gap Type: 0, Length: 1, Start Position: X2372
Gap Type: 0, Length: 2, Start Position: X2375
Gap Type: 0, Length: 1, Start Position: X2378
